director_name,duration,movie_title,country,imdb_score
Carl Franklin,115,High Crimes ,USA,6.3
Barbra Streisand,122,The Mirror Has Two Faces ,USA,6.5
Mark Pellington,119,The Mothman Prophecies ,USA,6.5
Larry Charles,81,Brüno ,USA,5.8
John Glen,133,Licence to Kill ,UK,6.6
Catherine Hardwicke,100,Red Riding Hood ,USA,5.4
John Herzfeld,120,15 Minutes ,USA,6.1
Annabel Jankel,104,Super Mario Bros. ,UK,4.0
Andrew Niccol,122,Lord of War ,USA,7.6
Yimou Zhang,80,Hero ,China,7.9
Julie Anne Robinson,91,One for the Money ,USA,5.3
Evan Goldberg,112,The Interview ,USA,6.6
Sngmoo Lee,100,The Warrior's Way ,New Zealand,6.3
"",30,McHale's Navy ,USA,7.5
Jean-Pierre Jeunet,105,Micmacs ,France,7.2
Curtis Hanson,110,8 Mile ,USA,7.0
Jamel Debbouze,101,Animal Kingdom: Let's go Ape ,France,4.9
Brian Helgeland,144,A Knight's Tale ,USA,6.9
Gordon Chan,108,The Medallion ,Hong Kong,5.2
M. Night Shyamalan,107,The Sixth Sense ,USA,8.1
Asger Leth,102,Man on a Ledge ,USA,6.6
David Frankel,100,The Big Year ,USA,6.2
John G. Avildsen,126,The Karate Kid ,USA,7.2
David O. Russell,138,American Hustle ,USA,7.3
Anne Fletcher,108,The Proposal ,USA,6.7
Bruce Beresford,105,Double Jeopardy ,USA,6.4
Robert Zemeckis,108,Back to the Future Part II ,USA,7.8
Luc Besson,89,Lucy ,France,6.4
Sam Taylor-Johnson,129,Fifty Shades of Grey ,USA,4.1
Robert Rodriguez,84,Spy Kids 3-D: Game Over ,USA,4.1
Joel Schumacher,149,A Time to Kill ,USA,7.4
Shawn Levy,94,Cheaper by the Dozen ,USA,5.8
Peter Berg,121,Lone Survivor ,USA,7.6
Penny Marshall,128,A League of Their Own ,USA,7.2
James Wan,134,The Conjuring 2 ,USA,7.8
David Fincher,120,The Social Network ,USA,7.7
Ken Kwapis,129,He's Just Not That Into You ,USA,6.4
David Zucker,89,Scary Movie 4 ,USA,5.1
Wes Craven,116,Scream 3 ,USA,5.5
Robert Zemeckis,118,Back to the Future Part III ,USA,7.4
Etan Cohen,107,Get Hard ,USA,6.0
Francis Ford Coppola,155,Bram Stoker's Dracula ,USA,7.5
Nora Ephron,123,Julie & Julia ,USA,7.0
Brian Helgeland,128,42 ,USA,7.5
Anthony Minghella,139,The Talented Mr. Ripley ,USA,7.3
Bobby Farrelly,109,Dumb and Dumber To ,USA,5.7
Frank Marshall,120,Eight Below ,USA,7.3
Nancy Meyers,121,The Intern ,USA,7.2
Tim Story,102,Ride Along 2 ,USA,5.9
Michael Mann,117,The Last of the Mohicans ,USA,7.8
Taylor Hackford,178,Ray ,USA,7.7
Frank Miller,147,Sin City ,USA,8.1
Pete Travis,90,Vantage Point ,USA,6.6
John Hamburg,105,"I Love You, Man ",USA,7.1
Bobby Farrelly,114,Shallow Hal ,USA,5.9
Oliver Stone,206,JFK ,France,8.0
John Whitesell,99,Big Momma's House 2 ,USA,4.6
Gore Verbinski,123,The Mexican ,USA,6.1
Angelina Jolie Pitt,137,Unbroken ,USA,7.2
Burr Steers,102,17 Again ,USA,6.4
Nick Cassavetes,109,The Other Woman ,USA,6.0
David R. Ellis,82,The Final Destination ,USA,5.2
Steven Spielberg,142,Bridge of Spies ,USA,7.6
John Moore,106,Behind Enemy Lines ,USA,6.4
Nicholas Stoller,114,Get Him to the Greek ,USA,6.4
Peter Chelsom,106,Shall We Dance ,USA,6.1
Joe Dante,108,Small Soldiers ,USA,6.1
Mark A.Z. Dippé,98,Spawn ,USA,5.2
Kevin Reynolds,131,The Count of Monte Cristo ,UK,7.7
Brad Furman,118,The Lincoln Lawyer ,USA,7.3
Jaume Collet-Serra,113,Unknown ,UK,6.9
Christopher Nolan,130,The Prestige ,USA,8.5
Sean Anders,116,Horrible Bosses 2 ,USA,6.3
Cal Brunker,89,Escape from Planet Earth ,USA,5.9
Mel Gibson,139,Apocalypto ,USA,7.8
John Glen,130,The Living Daylights ,UK,6.7
Nimród Antal,107,Predators ,USA,6.4
Ivan Reitman,116,Legal Eagles ,USA,5.9
David Koepp,96,Secret Window ,USA,6.6
Alejandro Agresti,99,The Lake House ,USA,6.8
Iain Softley,104,The Skeleton Key ,USA,6.5
Peter Hedges,105,The Odd Life of Timothy Green ,USA,6.6
Paul Weiland,101,Made of Honor ,USA,5.8
Clint Eastwood,134,Jersey Boys ,USA,6.9
Francis Ford Coppola,135,The Rainmaker ,USA,7.1
Mathieu Kassovitz,98,Gothika ,USA,5.8
Steven Spielberg,155,Amistad ,USA,7.2
John McTiernan,106,Medicine Man ,USA,6.0
Colin Strause,102,Aliens vs. Predator: Requiem ,USA,4.7
Donald Petrie,95,Ri¢hie Ri¢h ,USA,5.2
Joan Chen,103,Autumn in New York ,USA,5.5
Marc Lawrence,95,Music and Lyrics ,USA,6.5
Greg Mottola,109,Paul ,USA,7.0
Anne Fletcher,95,The Guilt Trip ,USA,5.8
Wes Craven,111,Scream 4 ,USA,6.2
Joel Schumacher,123,8MM ,Germany,6.5
Oliver Stone,140,The Doors ,USA,7.2
Jake Kasdan,94,Sex Tape ,USA,5.1
Diane Keaton,94,Hanging Up ,Germany,4.7
Steven Quale,92,Final Destination 5 ,USA,5.9
Kelly Makin,102,Mickey Blue Eyes ,UK,5.8
Mimi Leder,123,Pay It Forward ,USA,7.2
Bobby Farrelly,104,Fever Pitch ,USA,6.2
"",30,Arthur ,Canada,7.4
Steven Brill,102,Drillbit Taylor ,USA,5.7
Seth MacFarlane,136,A Million Ways to Die in the West ,USA,6.1
Russell Mulcahy,93,The Shadow ,USA,6.0
Stephen Daldry,129,Extremely Loud & Incredibly Close ,USA,6.9
Roger Michell,107,Morning Glory ,USA,6.5
Jim Sheridan,117,Get Rich or Die Tryin' ,USA,5.0
Christian Duguay,116,The Art of War ,USA,5.7
Chris Columbus,135,Rent ,USA,7.0
Chuck Russell,107,Bless the Child ,USA,5.1
Sam Weisman,90,The Out-of-Towners ,USA,5.3
John Frankenheimer,99,The Island of Dr. Moreau ,USA,4.4
Peter Hyams,104,The Musketeer ,Germany,4.7
Justin Chadwick,115,The Other Boleyn Girl ,UK,6.7
Pat O'Connor,119,Sweet November ,USA,6.7
Stephen Hopkins,99,The Reaping ,USA,5.7
Martin Scorsese,112,Mean Streets ,USA,7.4
Penny Marshall,128,Renaissance Man ,USA,6.1
Olivier Megaton,112,Colombiana ,France,6.4
Frederik Du Chau,86,The Magic Sword: Quest for Camelot ,USA,6.2
Michael Caton-Jones,108,City by the Sea ,USA,6.2
Irwin Winkler,128,At First Sight ,USA,5.9
Joseph Kahn,84,Torque ,USA,4.0
Harold Becker,111,City Hall ,USA,6.2
Paul Verhoeven,131,Showgirls ,France,4.6
Sofia Coppola,123,Marie Antoinette ,USA,6.4
Barbet Schroeder,101,Kiss of Death ,USA,5.9
Stephen Kay,102,Get Carter ,USA,5.1
J.A. Bayona,114,The Impossible ,Spain,7.6
Elaine May,107,Ishtar ,USA,4.2
Wes Anderson,87,Fantastic Mr. Fox ,USA,7.8
Stephen Herek,103,Life or Something Like It ,USA,5.8
John Carpenter,99,Memoirs of an Invisible Man ,USA,5.9
Jean-Pierre Jeunet,122,Amélie ,France,8.4
Dennie Gordon,91,New York Minute ,USA,4.8
Charles Shyer,103,Alfie ,UK,6.2
Ken Kwapis,107,Big Miracle ,USA,6.5
Ulu Grosbard,106,The Deep End of the Ocean ,USA,6.3
William Malone,101,Feardotcom ,UK,3.3
Paul Weitz,109,Cirque du Freak: The Vampire's Assistant ,USA,5.9
Paul McGuigan,110,Victor Frankenstein ,USA,6.0
Danny DeVito,89,Duplex ,USA,5.8
Malcolm D. Lee,100,Soul Men ,USA,6.5
Jerry Jameson,119,Raise the Titanic ,UK,4.7
Mic Rodgers,83,Universal Soldier: The Return ,USA,4.1
Christian Alvart,108,Pandorum ,Germany,6.8
Gary Fleder,102,Impostor ,USA,6.2
Christian Duguay,93,Extreme Ops ,UK,4.5
Jean-Marie Poiré,84,Just Visiting ,France,5.8
Danny Boyle,107,Sunshine ,UK,7.3
Brian Robbins,91,A Thousand Words ,USA,5.9
Marc F. Adler,94,Delgo ,USA,4.4
Pierre Morel,115,The Gunman ,USA,5.8
Geoffrey Sax,93,Alex Rider: Operation Stormbreaker ,Germany,5.1
D.J. Caruso,105,Disturbia ,USA,6.9
Iain Softley,107,Hackers ,USA,6.2
Richard Shepard,101,The Hunting Party ,USA,6.9
Joel Coen,111,The Hudsucker Proxy ,UK,7.3
Peter Ho-Sun Chan,113,The Warlords ,Hong Kong,7.1
Sergey Bodrov,112,Nomad: The Warrior ,France,6.0
Joon-ho Bong,126,Snowpiercer ,South Korea,7.0
Bibo Bergeron,90,A Monster in Paris ,France,6.8
Jeff Nathanson,93,The Last Shot ,USA,5.7
Alex Proyas,98,The Crow ,USA,7.6
S.S. Rajamouli,159,Baahubali: The Beginning ,India,8.4
Robert Schwentke,107,The Time Traveler's Wife ,USA,7.1
Michael Lehmann,102,Because I Said So ,USA,5.6
Rob Cohen,106,The Fast and the Furious ,USA,6.7
Tim Burton,87,Frankenweenie ,USA,7.0
Joss Whedon,119,Serenity ,USA,8.0
Charles S. Dutton,110,Against the Ropes ,USA,5.3
Richard Lester,125,Superman III ,UK,4.9
Peter Segal,113,Grudge Match ,USA,6.4
John Woo,150,Red Cliff ,China,7.4
Andy Tennant,108,Sweet Home Alabama ,USA,6.1
Robert Luketic,96,The Ugly Truth ,USA,6.5
Jonathan Lynn,93,Sgt. Bilko ,USA,5.7
Robert Rodriguez,100,Spy Kids 2: Island of Lost Dreams ,USA,5.1
David Carson,118,Star Trek: Generations ,USA,6.6
Kar-Wai Wong,122,The Grandmaster ,Hong Kong,6.5
Francis Lawrence,120,Water for Elephants ,USA,6.9
"",60,3rd Rock from the Sun ,USA,7.8
Yuefeng Song,88,Dragon Nest: Warriors' Dawn ,China,6.4
Norman Jewison,146,The Hurricane ,USA,7.6
Michael Apted,115,Enough ,USA,5.6
David Mirkin,123,Heartbreakers ,USA,6.2
Andy Fickman,94,Paul Blart: Mall Cop 2 ,USA,4.4
Luis Mandoki,102,Angel Eyes ,USA,5.6
John Pasquin,98,Joe Somebody ,USA,5.5
Roman Polanski,133,The Ninth Gate ,Spain,6.7
Michael Apted,118,Extreme Measures ,USA,6.1
Stephen Herek,105,Rock Star ,USA,6.2
Lee Daniels,109,Precious ,USA,7.3
Ridley Scott,129,White Squall ,USA,6.6
John Carpenter,109,The Thing ,USA,8.2
David Twohy,127,Riddick ,USA,6.4
Jeb Stuart,118,Switchback ,USA,6.4
Steve Miner,110,Texas Rangers ,USA,5.2
Gil Kenan,90,City of Ember ,USA,6.5
Paul Thomas Anderson,144,The Master ,USA,7.1
David Leland,97,Virgin Territory ,Italy,4.8
Gary Fleder,130,The Express ,USA,7.3
J Blakeson,112,The 5th Wave ,USA,5.2
Ryan Coogler,133,Creed ,USA,7.7
Ben Affleck,150,The Town ,USA,7.6
Kirk Jones,110,What to Expect When You're Expecting ,USA,5.7
Ethan Coen,96,Burn After Reading ,USA,7.0
Jennifer Flackett,96,Nim's Island ,USA,6.0
Ron Howard,123,Rush ,UK,8.1
Paul Thomas Anderson,188,Magnolia ,USA,8.0
Kevin Smith,107,Cop Out ,USA,5.6
Christian Ditter,110,How to Be Single ,USA,6.1
Charles Martin Smith,113,Dolphin Tale ,USA,6.9
Catherine Hardwicke,122,Twilight ,USA,5.2
Nick Cassavetes,116,John Q ,USA,7.0
Les Mayfield,93,Blue Streak ,USA,6.3
Rawson Marshall Thurber,118,We're the Millers ,USA,7.0
Fedor Bondarchuk,115,Obitaemyy ostrov ,Russia,5.3
Jonathan Mostow,93,Breakdown ,USA,6.9
Irvin Kershner,121,Never Say Never Again ,UK,6.2
Steve Pink,101,Hot Tub Time Machine ,USA,6.4
Charles Martin Smith,107,Dolphin Tale 2 ,USA,6.4
John Frankenheimer,124,Reindeer Games ,USA,5.7
F. Gary Gray,109,A Man Apart ,USA,6.1
Cameron Crowe,105,Aloha ,USA,5.4
Rob Reiner,130,Ghosts of Mississippi ,USA,6.7
Scott Hicks,127,Snow Falling on Cedars ,USA,6.8
Mikael Håfström,114,The Rite ,USA,6.0
Andrew Niccol,106,Gattaca ,USA,7.8
Andrew Bergman,95,Isn't She Great ,USA,5.3
Kirk De Micco,81,Space Chimps ,USA,4.5
Chris Rock,95,Head of State ,USA,5.4
Todd Phillips,108,The Hangover ,USA,7.8
Wilson Yip,105,Ip Man 3 ,Hong Kong,7.2
Jay Roach,95,Austin Powers: The Spy Who Shagged Me ,USA,6.6
Tim Burton,126,Batman ,USA,7.6
Roland Joffé,102,There Be Dragons ,Spain,5.9
Richard Donner,121,Lethal Weapon 3 ,USA,6.7
John Lee Hancock,129,The Blind Side ,USA,7.7
"",43,Rush Hour ,USA,5.8
Robert Rodriguez,88,Spy Kids ,USA,5.4
Seth Gordon,106,Horrible Bosses ,USA,6.9
Ethan Coen,110,True Grit ,USA,7.7
David Frankel,109,The Devil Wears Prada ,USA,6.8
Robert Wise,143,Star Trek: The Motion Picture ,USA,6.4
Seth Gordon,120,Identity Thief ,USA,5.7
Martin Scorsese,128,Cape Fear ,USA,7.3
Robert Luketic,123,21 ,USA,6.8
Judd Apatow,129,Trainwreck ,Japan,6.3
Kevin Rodney Sullivan,105,Guess Who ,USA,5.9
Anthony Minghella,162,The English Patient ,USA,7.4
Curtis Hanson,138,L.A. Confidential ,USA,8.3
Mike Mitchell,100,Sky High ,USA,6.2
Frank Oz,90,In & Out ,USA,6.3
Roger Donaldson,108,Species ,USA,5.8
Wes Craven,101,A Nightmare on Elm Street ,USA,7.5
Tarsem Singh,109,The Cell ,USA,6.3
Randall Wallace,132,The Man in the Iron Mask ,USA,6.4
Randall Wallace,123,Secretariat ,USA,7.2
Kevin Munroe,87,TMNT ,Hong Kong,6.3
Michael Tollin,109,Radio ,USA,6.9
Will Gluck,109,Friends with Benefits ,USA,6.6
Nicholas Stoller,92,Neighbors 2: Sorority Rising ,USA,6.0
John Lee Hancock,125,Saving Mr. Banks ,USA,7.5
Spike Lee,202,Malcolm X ,USA,7.7
Judd Apatow,134,This Is 40 ,USA,6.2
Walt Becker,88,Old Dogs ,USA,5.4
Patrick Tatopoulos,92,Underworld: Rise of the Lycans ,USA,6.6
Ken Kwapis,91,License to Wed ,USA,5.3
Dennis Dugan,75,The Benchwarmers ,USA,5.6
Gary David Goldberg,98,Must Love Dogs ,USA,5.9
Mike Newell,147,Donnie Brasco ,USA,7.8
Paul W.S. Anderson,100,Resident Evil ,UK,6.7
Tobe Hooper,120,Poltergeist ,USA,7.4
Ethan Coen,104,The Ladykillers ,USA,6.2
John Moore,103,Max Payne ,Canada,5.4
Andrew Niccol,109,In Time ,USA,6.7
Alan Poul,104,The Back-up Plan ,USA,5.3
Luke Greenfield,112,Something Borrowed ,USA,5.9
"",60,Hit the Floor ,USA,7.0
Gil Junger,95,Black Knight ,USA,4.8
Michael Ritchie,102,The Bad News Bears ,USA,7.3
Steven E. de Souza,102,Street Fighter ,Japan,3.8
Roman Polanski,150,The Pianist ,France,8.5
Albert Hughes,122,From Hell ,USA,6.8
Catherine Hardwicke,101,The Nativity Story ,USA,6.8
Jaume Collet-Serra,108,House of Wax ,Australia,5.3
Mike Nichols,98,Closer ,USA,7.3
Clint Eastwood,137,J. Edgar ,USA,6.6
Alexandre Aja,112,Mirrors ,USA,6.2
Michael Rymer,101,Queen of the Damned ,USA,5.2
Stephen Hopkins,103,Predator 2 ,USA,6.2
Gregory Hoblit,101,Untraceable ,USA,6.2
Hugh Wilson,112,Blast from the Past ,USA,6.6
Mike Hodges,111,Flash Gordon ,UK,6.4
Kevin Smith,102,Jersey Girl ,USA,6.2
Rob Cohen,101,Alex Cross ,USA,5.1
Clint Eastwood,155,Midnight in the Garden of Good and Evil ,USA,6.6
Scott Mann,93,Heist ,USA,6.1
Susanna White,109,Nanny McPhee Returns ,UK,6.1
Danny DeVito,140,Hoffa ,USA,6.6
Chris Carter,108,The X Files: I Want to Believe ,USA,5.9
Tommy O'Haver,96,Ella Enchanted ,USA,6.3
Peter Landesman,123,Concussion ,UK,7.1
John Singleton,106,Abduction ,USA,5.0
Gary Chapman,76,Valiant ,UK,5.6
Curtis Hanson,107,Wonder Boys ,USA,7.4
Craig Mazin,82,Superhero Movie ,USA,4.5
Allen Hughes,109,Broken City ,USA,6.2
Wes Craven,99,Cursed ,USA,5.0
David Koepp,91,Premium Rush ,USA,6.5
Anne Fletcher,87,Hot Pursuit ,USA,5.1
Shekhar Kapur,125,The Four Feathers ,UK,6.5
Taylor Hackford,118,Parker ,USA,6.2
Richard Loncraine,98,Wimbledon ,UK,6.3
Roger Kumble,92,Furry Vengeance ,USA,3.8
Kimble Rendall,93,Bait ,Australia,5.2
Peter Yates,116,Krull ,UK,6.0
Robert Redford,92,Lions for Lambs ,USA,6.2
John Milius,115,Flight of the Intruder ,USA,5.7
Jake Kasdan,120,Walk Hard: The Dewey Cox Story ,USA,6.7
Lasse Hallström,111,The Shipping News ,USA,6.8
Les Mayfield,94,American Outlaws ,USA,6.0
Jean-Marc Vallée,100,The Young Victoria ,UK,7.3
Dominic Sena,101,Whiteout ,USA,5.5
Terrence Malick,139,The Tree of Life ,USA,6.7
Hark Tsui,91,Knock Off ,Aruba,4.8
David Ayer,109,Sabotage ,USA,5.7
Brian Helgeland,102,The Order ,USA,5.1
Lexi Alexander,103,Punisher: War Zone ,USA,6.0
Peter Hewitt,83,Zoom ,USA,4.2
Robert Zemeckis,123,The Walk ,USA,7.4
Ronny Yu,101,Warriors of Virtue ,USA,4.6
Ridley Scott,117,A Good Year ,USA,6.9
"",60,Luther ,UK,8.6
Richard Donner,114,Radio Flyer ,USA,6.9
Taylor Hackford,330,"Blood In, Blood Out ",USA,8.0
Bille August,121,Smilla's Sense of Snow ,Denmark,6.4
Brian De Palma,114,Femme Fatale ,France,6.3
Moustapha Akkad,156,Lion of the Desert ,Libya,8.4
Jean-Paul Rappeneau,135,The Horseman on the Roof ,France,7.1
Ang Lee,148,Ride with the Devil ,USA,6.8
Alejandro G. Iñárritu,148,Biutiful ,Mexico,7.5
Roland Joffé,109,The Lovers ,Belgium,4.5
Joachim Rønning,93,Bandidas ,France,5.7
Tony Kaye,"",Black Water Transit ,USA,7.2
Wes Ball,113,The Maze Runner ,USA,6.8
Ken Scott,91,Unfinished Business ,USA,5.4
Martin Scorsese,139,The Age of Innocence ,USA,7.2
Darren Aronofsky,96,The Fountain ,USA,7.3
Hugh Johnson,102,Chill Factor ,USA,5.2
Simon West,96,Stolen ,USA,5.5
Hayao Miyazaki,101,Ponyo ,Japan,7.7
George Tillman Jr.,128,The Longest Ride ,USA,7.1
Rand Ravich,109,The Astronaut's Wife ,USA,5.3
Hugh Hudson,114,I Dreamed of Africa ,USA,5.6
Gabriele Muccino,105,Playing for Keeps ,USA,5.7
Justin Chadwick,141,Mandela: Long Walk to Freedom ,UK,7.1
Warren Beatty,195,Reds ,USA,7.5
Rob Reiner,138,A Few Good Men ,USA,7.6
Andrzej Bartkowiak,101,Exit Wounds ,USA,5.5
Raja Gosnell,99,Big Momma's House ,USA,5.1
Jeremy Degruson,85,Thunder and the House of Magic ,Belgium,6.3
Chris Gorak,89,The Darkest Hour ,USA,4.9
Scott Speer,99,Step Up Revolution ,USA,6.5
David R. Ellis,105,Snakes on a Plane ,Germany,5.6
Joe Charbanic,97,The Watcher ,USA,5.3
Jonathan Hensleigh,140,The Punisher ,USA,6.5
Danny Cannon,118,Goal! The Dream Begins ,USA,6.8
Boaz Yakin,94,Safe ,USA,6.5
Mike Newell,124,Pushing Tin ,USA,6.0
Richard Marquand,134,Star Wars: Episode VI - Return of the Jedi ,USA,8.4
Neil Marshall,113,Doomsday ,UK,6.0
Stephen Daldry,124,The Reader ,USA,7.6
David Wain,98,Wanderlust ,USA,5.6
Jon Favreau,97,Elf ,USA,6.9
Jon Turteltaub,123,Phenomenon ,USA,6.4
Brian Levant,99,Snow Dogs ,Canada,5.1
Richard Donner,101,Scrooged ,USA,7.0
Jared Hess,92,Nacho Libre ,Germany,5.7
Paul Feig,131,Bridesmaids ,USA,6.8
Evan Goldberg,107,This Is the End ,USA,6.7
Rupert Wainwright,103,Stigmata ,USA,6.2
George Tillman Jr.,129,Men of Honor ,USA,7.2
John Luessenhop,107,Takers ,USA,6.2
Justin Zackham,89,The Big Wedding ,USA,5.6
John Whitesell,113,"Big Mommas: Like Father, Like Son ",USA,4.4
Duncan Jones,93,Source Code ,USA,7.5
Frank Marshall,120,Alive ,USA,7.1
Joel Schumacher,98,The Number 23 ,USA,6.4
Jean-Pierre Jeunet,105,The Young and Prodigious T.S. Spivet ,France,7.1
Steven Spielberg,142,1941 ,USA,5.9
John Gatins,98,Dreamer: Inspired by a True Story ,USA,6.9
David Cronenberg,96,A History of Violence ,USA,7.5
Louis Leterrier,87,Transporter 2 ,France,6.3
Sam Raimi,107,The Quick and the Dead ,Japan,6.4
Peter Howitt,90,Laws of Attraction ,Ireland,5.9
Martin Scorsese,121,Bringing Out the Dead ,USA,6.8
Miguel Sapochnik,119,Repo Men ,USA,6.3
Hyung-rae Shim,107,Dragon Wars: D-War ,South Korea,3.6
Norman Jewison,110,Bogus ,USA,5.3
Don Scardino,100,The Incredible Burt Wonderstone ,USA,5.9
Mark Dindal,75,Cats Don't Dance ,USA,6.9
Tim Robbins,132,Cradle Will Rock ,USA,6.9
Steven Soderbergh,105,The Good German ,USA,6.1
Tom Reeve,93,George and the Dragon ,USA,5.7
Francis Ford Coppola,289,Apocalypse Now ,USA,8.5
Nanette Burstein,102,Going the Distance ,USA,6.3
Stephen Herek,143,Mr. Holland's Opus ,USA,7.3
Ariel Vromen,113,Criminal ,UK,6.3
Sydney Pollack,161,Out of Africa ,USA,7.2
Robert Zemeckis,138,Flight ,USA,7.3
Lewis Gilbert,126,Moonraker ,UK,6.3
Wes Anderson,99,The Grand Budapest Hotel ,USA,8.1
Scott Hicks,101,Hearts in Atlantis ,USA,6.9
Frank Marshall,103,Arachnophobia ,USA,6.3
Gregory Hoblit,118,Frequency ,USA,7.3
Paul Feig,116,Ghostbusters ,USA,5.5
John Francis Daley,99,Vacation ,USA,6.1
Barry Sonnenfeld,105,Get Shorty ,USA,6.9
Rob Marshall,113,Chicago ,USA,7.2
Dennis Dugan,93,Big Daddy ,USA,6.4
J.B. Rogers,108,American Pie 2 ,USA,6.4
John Lasseter,74,Toy Story ,USA,8.3
Jan de Bont,116,Speed ,USA,7.2
Michael Sucsy,104,The Vow ,USA,6.8
Tom Vaughan,106,Extraordinary Measures ,USA,6.5
Boaz Yakin,120,Remember the Titans ,USA,7.8
John McTiernan,135,The Hunt for Red October ,USA,7.6
Lee Daniels,132,Lee Daniels' The Butler ,USA,7.2
Rawson Marshall Thurber,92,Dodgeball: A True Underdog Story ,USA,6.7
Barry Sonnenfeld,99,The Addams Family ,USA,6.8
Steve Oedekerk,90,Ace Ventura: When Nature Calls ,USA,6.3
Garry Marshall,111,The Princess Diaries ,USA,6.2
Hugh Wilson,103,The First Wives Club ,USA,6.2
David Fincher,127,Se7en ,USA,8.6
Neill Blomkamp,112,District 9 ,South Africa,8.0
Stephen Hillenburg,87,The SpongeBob SquarePants Movie ,USA,7.0
Clint Eastwood,138,Mystic River ,USA,8.0
Clint Eastwood,132,Million Dollar Baby ,USA,8.1
Harold Ramis,103,Analyze This ,USA,6.7
Nick Cassavetes,123,The Notebook ,USA,7.9
Anne Fletcher,111,27 Dresses ,USA,6.1
Peter Chelsom,102,Hannah Montana: The Movie ,USA,4.2
Stig Bergqvist,78,Rugrats in Paris: The Movie ,Germany,6.1
Barbra Streisand,132,The Prince of Tides ,USA,6.6
Edward Zwick,133,Legends of the Fall ,USA,7.5
Jason Reitman,108,Up in the Air ,USA,7.4
Alexander Payne,125,About Schmidt ,USA,7.2
Jonathan Levine,98,Warm Bodies ,USA,6.9
Rian Johnson,119,Looper ,USA,7.4
Chris Weitz,87,Down to Earth ,USA,5.4
Chris Noonan,91,Babe ,Australia,6.8
David Frankel,100,Hope Springs ,USA,6.3
Nicholas Stoller,118,Forgetting Sarah Marshall ,USA,7.2
"",44,Friday Night Lights ,USA,8.7
John Singleton,109,Four Brothers ,USA,6.9
Michael McCullers,99,Baby Mama ,USA,6.0
Forest Whitaker,114,Hope Floats ,USA,5.9
Gary Winick,89,Bride Wars ,USA,5.4
Steven Brill,95,Without a Paddle ,USA,5.9
Gary Winick,98,13 Going on 30 ,USA,6.1
Woody Allen,94,Midnight in Paris ,Spain,7.7
Peter Lepeniotis,85,The Nut Job ,Canada,5.8
Ted Demme,124,Blow ,USA,7.6
Luis Mandoki,131,Message in a Bottle ,USA,6.1
William Shatner,107,Star Trek V: The Final Frontier ,USA,5.4
John Schultz,99,Like Mike ,USA,5.1
Peter Segal,83,Naked Gun 33 1/3: The Final Insult ,USA,6.4
John Glen,131,A View to a Kill ,UK,6.3
Steve Box,85,The Curse of the Were-Rabbit ,UK,7.5
Richard LaGravenese,126,P.S. I Love You ,USA,7.1
Frederik Du Chau,102,Racing Stripes ,USA,5.2
Joe Wright,123,Atonement ,UK,7.8
Gary Winick,105,Letters to Juliet ,USA,6.5
Ridley Scott,125,Black Rain ,USA,6.6
Bobby Farrelly,92,The Three Stooges ,USA,5.1
Tim Burton,77,Corpse Bride ,USA,7.4
James Gartner,118,Glory Road ,USA,7.2
Denis Villeneuve,121,Sicario ,USA,7.6
Antoine Fuqua,124,Southpaw ,USA,7.5
Sam Raimi,99,Drag Me to Hell ,USA,6.6
Lee Toland Krieger,112,The Age of Adaline ,USA,7.2
Tim McCanlies,111,Secondhand Lions ,USA,7.6
Jon M. Chu,107,Step Up 3D ,USA,6.2
John Stockwell,104,Blue Crush ,USA,5.6
Marc Forster,113,Stranger Than Fiction ,USA,7.6
David Slade,113,30 Days of Night ,USA,6.6
Drew Goddard,95,The Cabin in the Woods ,USA,7.0
Jason Friedberg,86,Meet the Spartans ,USA,2.7
Martin Brest,126,Midnight Run ,USA,7.6
Paul Michael Glaser,101,The Running Man ,USA,6.6
Frank Oz,102,Little Shop of Horrors ,USA,6.9
Joe Wright,111,Hanna ,USA,6.8
"",60,The Family ,USA,7.5
John R. Leonetti,95,Mortal Kombat: Annihilation ,USA,3.7
Tom Hanks,98,Larry Crowne ,USA,6.1
Kimberly Peirce,100,Carrie ,USA,5.9
Liz Friedlander,118,Take the Lead ,USA,6.7
"",28,Entourage ,USA,8.5
Phil Joanou,125,Gridiron Gang ,USA,6.9
Sam Weisman,94,What's the Worst That Could Happen? ,USA,5.5
Shane Acker,79,9 ,USA,7.1
Steven Soderbergh,106,Side Effects ,USA,7.1
Martha Coolidge,111,The Prince and Me ,USA,5.9
Stephen J. Anderson,63,Winnie the Pooh ,USA,7.3
Troy Miller,85,Dumb and Dumberer: When Harry Met Lloyd ,USA,3.4
Warren Beatty,108,Bulworth ,USA,6.8
Tate Taylor,139,Get on Up ,USA,6.9
Carl Franklin,127,One True Thing ,USA,7.0
Brett Leonard,106,Virtuosity ,USA,5.5
Ivan Reitman,95,My Super Ex-Girlfriend ,USA,5.1
Scott Derrickson,118,Deliver Us from Evil ,USA,6.2
Alister Grierson,108,Sanctum ,USA,5.9
Nick Hurran,105,Little Black Book ,USA,5.2
Nicholas Stoller,131,The Five-Year Engagement ,USA,6.2
Charles Stone III,104,Mr 3000 ,USA,5.5
Paul Haggis,133,The Next Three Days ,USA,7.4
Kurt Wimmer,94,Ultraviolet ,USA,4.4
Jean-François Richet,109,Assault on Precinct 13 ,USA,6.3
Antoine Fuqua,96,The Replacement Killers ,USA,6.1
